kid_score,mom_hs,mom_iq,mom_work,mom_age
65,yes,121.1175286,yes,27
98,yes,89.36188171,yes,25
85,yes,115.4431649,yes,27
83,yes,99.44963944,yes,25
115,yes,92.74571,yes,27
98,no,107.9018378,no,18
69,yes,138.8931061,yes,20
106,yes,125.1451195,yes,23
102,yes,81.61952618,no,24
95,yes,95.07306862,no,19
91,yes,88.57699772,no,23
58,yes,94.85970819,yes,24
84,yes,88.96280085,yes,27
78,yes,114.114297,yes,26
102,no,100.5340719,yes,24
110,yes,120.4191456,no,26
102,yes,114.4268769,yes,23
99,yes,111.5923576,yes,26
105,yes,133.8492272,yes,20
101,no,97.26480106,yes,17
102,yes,110.0968061,yes,21
115,yes,126.7239942,yes,26
100,yes,97.91159031,yes,20
87,yes,99.92572516,yes,23
99,no,97.59500805,yes,19
96,yes,121.7480135,yes,27
72,yes,98.7480787,yes,21
78,yes,97.91525433,yes,22
77,yes,80.35855646,yes,24
98,yes,114.3078606,yes,22
69,yes,109.1383163,no,27
130,yes,101.8171797,yes,23
109,yes,117.9651043,yes,27
106,no,108.6334969,yes,22
92,yes,96.52861915,yes,27
100,yes,92.87137547,yes,22
107,yes,95.89813429,yes,27
86,yes,107.0154577,yes,25
90,yes,87.19701175,no,22
110,yes,89.36188171,yes,25
107,yes,102.5309878,yes,21
113,yes,130.1668602,yes,24
65,yes,83.4141026,yes,22
102,yes,125.7534662,no,24
103,no,85.81037656,yes,27
111,yes,126.5200726,yes,28
42,yes,79.2030481,yes,21
100,yes,113.1659072,no,23
67,yes,110.3313879,no,26
92,yes,99.40922374,yes,28
100,yes,102.4255265,yes,24
110,yes,124.9004377,yes,27
56,yes,94.85970819,yes,24
107,yes,92.36856455,yes,29
97,yes,101.8171797,no,23
56,no,79.83353296,no,21
95,yes,96.22613927,yes,21
78,no,82.35547239,yes,21
76,no,76.57564732,no,24
86,yes,110.0134829,no,23
79,yes,111.5923576,yes,26
81,yes,113.6574074,yes,17
79,no,101.1645568,yes,24
79,yes,101.341094,yes,25
56,yes,101.6981635,yes,22
52,yes,98.81915458,yes,25
63,yes,93.4981963,yes,20
80,yes,87.2938899,yes,24
87,yes,87.316028,yes,23
88,yes,86.20945742,yes,25
92,yes,89.83796743,yes,23
100,no,121.8700149,no,20
94,no,127.5443786,yes,20
117,yes,109.9913448,yes,24
102,yes,90.44631419,yes,24
107,yes,88.8949027,yes,26
99,yes,113.0468909,yes,22
73,no,78.01315427,yes,25
56,yes,95.38965088,no,20
78,no,83.61644211,yes,21
94,no,86.24628061,yes,19
110,yes,95.38965088,yes,20
109,yes,111.2523145,yes,24
86,yes,127.0144359,no,24
92,yes,89.95195087,yes,28
91,yes,99.2731022,yes,24
123,yes,81.16557856,no,25
102,yes,110.5212875,yes,20
105,yes,136.4938469,yes,23
114,yes,123.8620117,no,24
96,yes,134.6023923,no,23
66,yes,91.09893715,yes,23
104,yes,103.2693718,yes,19
108,yes,126.2870729,yes,22
84,yes,127.5443786,yes,20
83,no,92.4738903,yes,28
83,yes,84.79408857,yes,23
92,no,100.5340719,yes,24
109,no,108.0030121,yes,22
95,no,78.80714497,no,26
93,yes,121.1175286,yes,27
114,yes,103.0560113,yes,24
106,yes,100.4371938,yes,22
87,yes,88.55485962,yes,24
65,yes,85.30555717,yes,22
95,yes,119.4486177,yes,24
61,yes,90.55177555,yes,21
73,yes,96.33403834,yes,19
112,yes,127.6449208,yes,24
113,yes,119.8565589,yes,27
49,no,112.0189209,no,28
105,yes,92.514306,yes,25
122,yes,96.02379976,yes,22
96,yes,91.41684213,yes,26
97,yes,103.0781494,yes,23
94,yes,100.2436301,yes,26
117,yes,89.81582933,yes,24
136,yes,115.0573617,yes,23
85,no,96.65062059,yes,20
116,yes,105.5779508,yes,24
106,yes,97.72169071,yes,26
99,yes,131.8357712,yes,27
94,yes,101.8171797,no,23
89,yes,93.4981963,yes,20
119,yes,104.0265393,yes,26
112,yes,103.7086343,yes,23
104,no,107.3688632,yes,20
92,yes,92.55112919,yes,19
86,yes,94.44258376,yes,19
69,yes,93.14479086,yes,25
45,yes,83.4141026,yes,22
57,yes,71.03740514,yes,28
94,yes,127.6670589,no,23
104,yes,115.6878466,yes,23
89,no,90.97625687,no,20
144,yes,132.8653369,yes,25
52,yes,72.50229639,no,26
102,yes,100.7106092,yes,25
106,yes,132.6887997,yes,24
98,yes,98.54573919,yes,22
97,yes,115.6657085,yes,24
94,yes,117.0627998,yes,28
111,yes,136.4938469,yes,23
100,yes,106.5484787,yes,26
105,yes,134.1263066,yes,25
90,yes,104.6570241,yes,26
98,yes,99.37856356,yes,21
121,yes,100.4371938,no,22
106,yes,89.52538756,yes,26
121,yes,120.9229478,yes,19
102,yes,113.1437691,yes,24
64,yes,126.4147469,no,29
99,yes,122.7371635,yes,28
81,yes,115.3752667,yes,26
69,yes,91.60674173,yes,20
84,yes,88.66032097,yes,21
104,yes,107.1789636,yes,26
104,yes,104.969604,yes,23
107,yes,103.8630334,yes,25
88,yes,110.0968061,yes,21
67,no,88.45431744,no,20
103,no,117.0321396,no,21
94,yes,125.6565881,yes,22
109,yes,122.6010419,yes,24
94,yes,121.0496304,yes,26
98,yes,93.14479086,yes,25
102,yes,99.37856356,yes,21
104,yes,123.8928074,yes,29
114,no,113.0432269,yes,20
87,yes,115.7711699,yes,21
102,yes,114.9383455,yes,22
77,yes,93.62087658,yes,23
109,yes,121.7480135,no,27
94,yes,90.34943603,yes,22
93,no,83.41043858,yes,20
86,yes,99.48646263,yes,19
97,yes,113.9103755,yes,28
97,yes,97.59500805,yes,19
88,yes,89.81582933,yes,24
103,yes,119.5847392,yes,28
87,no,97.38164763,yes,24
87,yes,84.87741183,yes,21
90,yes,102.3286483,yes,22
65,yes,99.2731022,yes,24
111,no,99.07504975,yes,18
109,yes,96.9277,yes,25
87,yes,108.3132506,yes,19
58,yes,100.5340719,yes,24
87,yes,99.48646263,yes,19
113,yes,113.9876144,yes,19
64,no,92.77020117,yes,18
78,no,88.02983612,yes,21
97,no,106.1115575,yes,22
95,no,103.2325486,yes,25
75,yes,99.2952403,yes,23
91,no,106.7420423,yes,22
99,yes,99.17256003,yes,20
108,yes,102.4476646,no,23
95,yes,92.86771145,yes,20
100,yes,116.826136,yes,20
85,yes,85.42457343,no,23
97,no,115.5651663,yes,20
108,yes,113.1745649,yes,29
90,yes,106.8610586,no,23
100,yes,95.83023613,yes,26
82,no,77.10925402,no,22
94,yes,89.29080583,yes,21
95,yes,112.412742,yes,20
119,yes,110.6439677,no,23
98,yes,109.5373972,no,25
100,no,107.9018378,no,18
112,yes,104.969604,yes,23
136,no,107.6827658,yes,19
122,yes,109.4663213,yes,21
126,yes,133.532645,no,19
116,yes,128.8090124,yes,22
98,yes,101.2700181,yes,21
94,yes,87.316028,yes,23
93,yes,118.0907698,yes,22
90,yes,120.2556397,yes,25
70,yes,90.34577201,yes,20
110,yes,79.90460884,yes,25
104,yes,136.5771702,yes,21
83,yes,102.4255265,yes,24
99,yes,132.6887997,yes,24
81,yes,96.29721515,yes,25
104,yes,118.209786,yes,23
109,yes,118.0907698,yes,22
113,yes,101.5045999,yes,26
95,no,94.33468469,yes,21
74,yes,84.67140829,no,20
81,yes,86.7688664,yes,21
89,yes,129.2459336,yes,26
93,yes,127.7810423,yes,28
102,yes,106.8610586,yes,23
95,yes,105.754488,no,25
85,yes,117.0321396,yes,21
97,yes,119.3517395,yes,22
92,yes,102.7655696,no,26
78,no,108.2053516,yes,21
104,yes,126.4147469,yes,29
120,yes,101.900503,yes,21
83,no,99.15625564,yes,17
105,yes,91.81274526,no,21
68,yes,84.14146561,yes,24
104,yes,84.35482604,yes,19
80,yes,79.11972485,yes,23
120,yes,91.41684213,yes,26
94,yes,90.44631419,yes,24
81,yes,79.00070859,yes,22
101,yes,109.2639818,yes,22
61,yes,76.75218455,yes,25
68,yes,97.59500805,yes,19
110,yes,128.8090124,yes,22
89,no,113.6574074,no,17
98,no,114.2066863,yes,18
113,yes,112.5132842,yes,24
50,no,75.3368157,no,23
57,no,81.52264802,yes,22
86,yes,102.6388869,yes,19
83,yes,101.1866949,no,23
106,yes,112.2228424,yes,26
106,no,123.408064,yes,25
104,yes,86.56652689,yes,22
78,yes,100.1169475,yes,19
99,yes,102.3286483,yes,22
91,yes,87.94651286,no,23
40,no,80.25801429,no,20
42,no,80.25801429,no,20
69,yes,91.07679905,yes,24
84,yes,85.57897256,yes,25
58,yes,113.1659072,yes,23
42,yes,112.0593366,yes,25
72,yes,101.2700181,yes,21
80,no,81.83288661,no,19
58,no,81.09450268,yes,21
52,yes,81.3290844,yes,26
101,yes,120.6090452,yes,20
63,yes,102.4476646,yes,23
73,yes,90.97625687,yes,20
68,yes,103.7086343,yes,23
60,yes,102.3286483,yes,22
69,yes,121.8700149,yes,20
73,no,88.66032097,no,21
75,no,90.02918976,no,19
20,no,83.53311886,yes,23
56,yes,91.92064433,yes,19
49,yes,87.19334773,no,20
71,no,80.46401782,yes,21
46,no,84.31800285,no,25
54,no,77.73973888,yes,22
54,no,82.27214914,no,23
44,yes,77.38266941,yes,25
74,yes,89.71528716,yes,20
58,no,79.90460884,yes,25
46,yes,82.15313288,yes,22
76,no,80.26167831,yes,22
43,no,77.38266941,yes,25
60,no,82.78361774,yes,22
58,yes,89.20748258,yes,23
89,yes,89.08846632,yes,22
43,no,88.98729202,yes,18
94,yes,118.9235942,no,21
88,yes,83.85102383,yes,26
79,yes,84.04458746,yes,22
87,yes,105.0529273,yes,21
46,yes,107.999348,yes,20
95,yes,97.38164763,yes,24
92,yes,103.7919576,yes,21
42,no,97.59500805,yes,19
62,yes,88.66032097,yes,21
52,yes,107.2468617,yes,27
101,yes,89.83796743,yes,23
97,yes,108.9069123,yes,25
85,yes,100.6395333,yes,21
98,yes,118.8402709,no,23
94,yes,95.51233116,yes,23
90,yes,84.77195047,yes,24
72,yes,100.7474323,no,19
92,yes,87.00344812,no,26
75,no,77.85875513,yes,23
83,yes,85.30189315,yes,20
64,yes,92.77020117,no,18
101,yes,74.86072998,yes,25
82,yes,115.2485841,yes,19
77,yes,107.3725272,yes,22
101,yes,102.2029829,yes,27
50,yes,97.91159031,yes,20
90,yes,96.85662413,yes,21
103,yes,111.4656749,yes,19
96,yes,109.4663213,yes,21
50,yes,82.25001104,yes,24
47,yes,92.77020117,yes,18
73,yes,115.5688303,yes,22
62,no,84.04458746,yes,22
77,yes,116.1993152,yes,22
64,yes,99.2952403,yes,23
52,yes,87.19334773,yes,20
61,yes,76.71176886,yes,28
86,yes,80.69859954,yes,26
41,no,82.46337146,no,19
83,yes,85.1798917,yes,27
64,yes,93.07371498,yes,21
83,yes,88.57699772,yes,23
116,yes,103.0560113,yes,24
100,no,86.87676547,yes,19
42,no,97.91525433,yes,22
74,yes,120.9229478,yes,19
76,yes,91.72942201,yes,23
92,yes,87.50725033,yes,19
98,yes,90.44631419,yes,24
96,yes,84.16360371,yes,23
67,yes,96.65428461,yes,22
84,yes,95.70355348,yes,19
111,yes,88.76822004,yes,19
41,no,92.13971631,no,18
68,yes,108.0030121,yes,22
107,yes,80.38935225,yes,29
82,no,99.80304488,yes,20
89,yes,90.02918976,yes,19
83,yes,93.93878156,yes,26
73,yes,103.7086343,yes,23
74,yes,77.10925402,yes,22
94,yes,117.5571631,yes,24
58,yes,79.83353296,yes,21
76,yes,83.61644211,yes,21
61,yes,88.73139685,yes,25
38,yes,82.78361774,yes,22
100,yes,86.87676547,yes,19
84,yes,88.73139685,yes,25
99,yes,92.24089061,yes,22
86,yes,90.55177555,no,21
94,yes,84.14146561,yes,24
90,yes,93.07371498,yes,21
50,no,85.83486773,yes,18
112,yes,98.85597777,yes,19
58,yes,95.51233116,yes,23
87,yes,101.0676786,yes,22
76,yes,85.93237801,no,20
68,yes,82.78361774,yes,22
110,yes,98.66475544,yes,23
88,no,82.14946886,yes,20
87,no,85.61579575,no,19
54,no,79.43762983,no,26
49,no,75.3368157,no,23
56,yes,80.89216317,yes,22
79,yes,115.7711699,yes,21
82,yes,97.159104,yes,27
80,no,80.89216317,no,22
60,yes,79.50552798,yes,27
102,yes,98.01213248,yes,24
87,yes,108.8664966,yes,28
42,no,80.69859954,yes,26
119,yes,100.7474323,yes,19
84,yes,91.09893715,yes,23
86,yes,82.98595725,no,21
113,yes,89.71528716,yes,20
72,yes,131.0107055,yes,19
104,yes,124.5146346,yes,23
94,yes,91.61040575,yes,22
78,no,92.99039172,no,23
80,no,91.88382114,no,25
67,no,88.69098116,no,28
104,yes,126.0935093,yes,26
96,no,84.98531089,yes,19
65,no,82.98595725,no,21
64,yes,101.7950416,yes,24
95,yes,100.2436301,yes,26
56,yes,110.0134829,yes,23
75,no,88.57699772,yes,23
91,yes,106.7420423,yes,22
106,yes,95.2921406,yes,18
76,yes,108.3132506,no,19
90,yes,110.3313879,yes,26
108,yes,116.8298001,yes,22
86,no,86.68554314,no,23
85,yes,96.85662413,yes,21
104,no,90.24826174,no,18
87,yes,89.29080583,yes,21
41,no,74.23024512,no,25
106,no,91.88382114,yes,25
76,no,96.46072099,yes,26
100,no,97.40378573,yes,23
89,yes,131.5332913,yes,21
42,yes,78.24455827,yes,27
102,yes,127.6757166,yes,29
104,yes,124.5146346,yes,23
59,no,80.46401782,yes,21
93,no,74.86072998,yes,25
94,no,84.87741183,yes,21
76,yes,92.99039172,yes,23
50,no,94.85970819,yes,24
88,yes,96.85662413,yes,21
70,yes,91.25333628,yes,25
